bucket,snn_baseline,triggered_te,ospf_te_t5
0 hop,11.733717119274035,1.4851749136379118,1.0952380952380953
1 hop,88.26628288072597,15.941878867495566,12.857142857142858
2 hops,0.0,49.09830991273116,48.0
3+ hops,0.0,33.47463630613536,38.047619047619044
