method,total_control_mb,total_control_mb_ci95,route_changes_per_node_mean,route_changes_per_node_ci95
snn_sra,9.1401024,1.2955920428285514,100.078,1.8547276086800464
ospf_te,52.086892799999994,1.9638904429187432,209.52399999999997,7.087858655024097
triggered_te,48.430272,1.570481626650543,122.06199999999998,4.583791788290561
te_ecmp,99.85120640000001,5.704601980122717,281.674,52.378556305205656
bandit,87.01424,3.200680636179689,5644.677999999999,290.70688069372966
