method,startup_ms_mean,startup_ms_ci95,startup_mb_mean,startup_mb_ci95,path_stretch_mean,path_stretch_ci95
snn_sra,40.0,0.0,1.7580544,0.05926132116540856,1.0481140961939872,0.019002625218299735
ospf_te,88.0,11.428665713896788,2.7305344,0.2938958676297129,1.0072894295850021,0.007133166141718436
triggered_te,40.0,0.0,3.3600575999999998,0.17978305516615223,1.0312919628282697,0.026843428873698245
bandit,62.0,3.9199999999999995,3.2179200000000003,0.1455034898221273,1.0020648084541404,0.004047024570115203
