method_key,method_short,rebound_pct_mean,rebound_pct_std,post_stage2_mean,post_stage2_std,updates_mean_m,updates_std_m
baseline,Baseline,1.5696969696969698,0.8732730710065726,21.0,30.528675044947494,0.2084218,0.01040344552059557
memory_only,Memory,1.395959595959596,0.8016600977695486,0.0,0.0,0.18076,0.009533703294103503
full,Full,0.2828282828282828,0.2054010041178056,0.0,0.0,0.1655402,0.00850895914316199
