method,label,delivery_mean,delivery_ci95,updates_mean,updates_ci95
snn_sra,SNN-SRA,93.67370808835476,1.4043483718505454,7.2772032,0.7346115693684553
ospf_te,OSPF-TE,95.92344420678964,2.242567023279803,27.102016,1.0707328948956738
te_ecmp,TE+ECMP,96.9991578632681,1.869450632560379,51.4225024,3.083156961672461
bandit,Bandit Routing,96.02530113468147,1.6862126050791955,47.8853632,1.8179534603969083
