method,startup_ms_mean,startup_ms_ci95,startup_mb_mean,startup_mb_ci95,hotspot_relief_ms_mean,hotspot_relief_ms_ci95
snn_sra,40.0,0.0,1.7580544,0.05926132116540856,46.0,4.800999895855029
ospf_te,88.0,11.428665713896788,2.7305344,0.2938958676297129,8.0,9.601999791710059
bandit,62.0,3.9199999999999995,3.2179200000000003,0.1455034898221273,0.0,0.0
