method,label,delivery_mean,delivery_ci95,updates_mean,updates_ci95
snn_sra,SNN-SRA,93.67370808835476,1.4043483718505454,0.2274126,0.022956611542764228
ospf_te,OSPF-TE,95.92344420678964,2.242567023279803,0.846938,0.033460402965489806
te_ecmp,TE+ECMP,96.9991578632681,1.869450632560379,1.6069532,0.0963486550522644
bandit,Bandit Routing,96.02530113468147,1.6862126050791955,1.4964176,0.056811045637403385
