mode,label,rebound_mean,rebound_ci95,return_mean,return_ci95,changes_mean,changes_ci95
baseline,Baseline,1.5696969696969698,0.7654575962787532,1.3575757575757577,0.8593235533190325,12.354,0.19691514355173367
memory_only,SNN-SRA+Memory,1.395959595959596,0.7026860575970405,1.395959595959596,0.7026860575970405,12.3158,0.1991724572926687
full,SNN-SRA (Full),0.2828282828282828,0.18004191827881802,0.2828282828282828,0.18004191827881802,9.490599999999999,0.029728748645040073
