trial_id,topology_seed,hotspot_node,fail_edge,method,mean_delivery_ratio,min_delivery_ratio,mean_loss_ratio,mean_delay,max_link_utilization,mean_emitted_this_tick,peak_event_rate,pair_reachability_ratio,total_emitted_updates,total_received_updates,total_fire_count
0,70,41,9-89,snn_sra,0.9456779823596384,0.5985010380543561,0.0543220176403638,3.2696756590933402,1.0,1703.6451612903227,43060,1.0,311501,313533,47593
0,70,41,9-89,ospf_te,0.9178610676060741,0.7522202039618203,0.082138932393928,3.1759170010330253,1.0,13815.225806451614,61182,1.0,877729,865881,0
0,70,41,9-89,te_ecmp,0.9406284151862672,0.8668612791431747,0.05937158481373842,3.157808248768404,1.0,26566.225806451614,123355,1.0,1687360,1673291,0
0,70,41,9-89,bandit,0.9165094898445497,0.8503598149748232,0.08349051015545184,3.1590241753911865,1.0,19736.129032258064,61182,1.0,1550731,1530713,0
1,71,66,85-100,snn_sra,0.9958064516129035,0.995,0.004193548387096802,2.9866408656184293,0.8999999999999998,229.93548387096774,32306,1.0,205934,207264,38739
1,71,66,85-100,ospf_te,0.9958064516129035,0.995,0.004193548387096802,2.9866408656184293,0.8999999999999998,11758.645161290322,52074,1.0,737382,727006,0
1,71,66,85-100,te_ecmp,0.990319892473125,0.9884583333333395,0.009680107526881787,2.9824346829604633,0.9449999999999997,20633.516129032258,91377,1.0,1268262,1256396,0
1,71,66,85-100,bandit,0.9906182795698925,0.9750000000000001,0.00938172043010759,2.982344018228821,1.0,16798.064516129034,52074,1.0,1310196,1292662,0
2,72,29,11-45,snn_sra,0.913452128081835,0.6736643264514561,0.08654787191816792,3.1757293184179543,1.0,1175.1612903225807,40209,1.0,282702,284596,45592
2,72,29,11-45,ospf_te,0.9509216334973445,0.8514690392915413,0.04907836650265638,3.1241343452701744,1.0,13502.322580645161,59796,1.0,857106,845482,0
2,72,29,11-45,te_ecmp,0.9539217496031952,0.9304524591942961,0.046078250396810384,3.1224462502252783,1.0,25681.322580645163,117983,1.0,1619057,1605932,0
2,72,29,11-45,bandit,0.9215474725602885,0.8659569586481342,0.0784525274397128,3.0567363017545293,1.0,19289.032258064515,59796,1.0,1514862,1495222,0
3,73,54,80-97,snn_sra,0.9574971605554462,0.8984741784037562,0.04250283944455403,2.9297611760490314,1.0,491.1290322580645,40209,1.0,246976,249200,40882
3,73,54,80-97,ospf_te,0.9872844240008827,0.9651545637461133,0.012715575999117854,2.890326790193933,1.0,13502.322580645161,59796,1.0,857106,845482,0
3,73,54,80-97,te_ecmp,0.9851464384958322,0.9701116420746744,0.014853561504172481,2.8884318855451716,1.0,26422.451612903227,117983,1.0,1646829,1632923,0
3,73,54,80-97,bandit,0.9742857184494634,0.9577464788732395,0.02571428155053686,2.8827839026740416,1.0,19289.032258064515,59796,1.0,1514862,1495222,0
