method,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_emitted_this_tick,hotspot_peak_pressure,post_burst_mean_pressure,relief_tick_after_burst,total_emitted_updates,peak_event_rate
snn_sra,0.8865627296986286,0.11343727030137626,3.5123172621031067,2417.425806451613,1.8,0.05693499999999999,24.0,215648.2,16919.8
ospf_te,0.9370196616930642,0.06298033830693842,3.366512491360903,8807.806451612903,1.512,0.0014459999999999972,1.6,554939.2,39006.0
te_ecmp,0.9439209498138187,0.056079050186183886,3.355411189307373,11833.683870967743,1.434,0.005028357142857142,3.2,771512.8,61505.0
bandit,0.9781735986043909,0.021826401395609738,3.2881089898886415,12582.58064516129,0.6071999999999995,0.000891,2.0,984005.2,39006.0
