topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
er,124,ospf_te,3.0,0.06000000000000001,0.978493192783126,0.02150680721687443,2.9728924776979992,1.0041637252838267,11793.774193548386,377400.77419354836,85.64516129032258,1.1999999999999988,0,1,1848071,59138272.0,16253,162.53,13959
er,124,snn_sra,3.0,0.06000000000000001,0.9292062461741295,0.07079375382587269,3.1679482786566178,1.0542357100952602,1772.0645161290322,56706.06451612903,26.29032258064516,1.8,4,89,357279,11432928.0,10123,101.23,29111
er,124,te_ecmp,3.0,0.06000000000000001,0.9840258383547529,0.01597416164525407,2.961614044389574,1.0018155784084974,22369.548387096773,715825.5483870967,152.29032258064515,0.6066000000000005,0,1,3561596,113971072.0,25691,256.91,27934
er,124,triggered_te,3.0,0.06000000000000001,0.9799383907327371,0.02006160926726305,3.0159156931915363,1.0218448236536917,10551.354838709678,337643.3548387097,15.483870967741936,1.5959999999999994,4,1,1692836,54170752.0,11889,118.89,38538
er,125,bandit,3.0,0.06000000000000001,0.940566511501633,0.05943348849836748,3.090912988582863,1.010324042270702,19391.225806451614,620519.2258064516,3642.3548387096776,1.8,0,2,3066688,98134016.0,615171,6151.71,21483
er,125,ospf_te,3.0,0.06000000000000001,0.9664538372616271,0.03354616273837357,3.0713415922818483,1.0109856812493614,11643.677419354839,372597.67741935485,90.41935483870968,1.2239999999999984,2,2,1837398,58796736.0,16996,169.96,13167
er,125,snn_sra,3.0,0.06000000000000001,0.9293558982875316,0.07064410171247022,3.2544055139842354,1.0678900642452365,1107.1612903225807,35429.16129032258,18.258064516129032,1.8,5,89,272006,8704192.0,9889,98.89,29596
er,125,te_ecmp,3.0,0.06000000000000001,0.959679684443423,0.040320315556584156,3.0856336427270885,1.013142808315264,21439.612903225807,686067.6129032258,158.0,1.2815999999999987,2,2,3470526,111056832.0,26277,262.77,26477
er,125,triggered_te,3.0,0.06000000000000001,0.9271999312617546,0.0728000687382457,3.1435401141829153,1.0594576458436016,10064.870967741936,322075.87096774194,13.838709677419354,1.8,7,2,1666222,53319104.0,11793,117.93,38430
er,121,bandit,4.0,0.08,0.9698468148748722,0.030153185125127633,2.973163029779051,1.0,20435.516129032258,653936.5161290322,3601.967741935484,1.1040000000000012,0,1,3226771,103256672.0,614425,6144.25,21681
