topology,mode,seed,tick,route_changes,phase
er,full,101,17,0,stage1
er,full,101,18,0,stage1
er,full,101,19,0,stage1
er,full,101,20,111,stage1
er,full,101,21,66,stage1
er,full,101,22,0,stage1
er,full,101,23,0,stage1
er,full,101,24,0,stage1
er,full,101,25,0,stage1
er,full,101,26,0,stage1
er,full,101,27,0,stage1
er,full,101,28,0,stage1
er,full,101,29,0,stage1
er,full,101,30,0,stage1
er,full,101,31,0,pre
er,full,101,32,0,pre
er,full,101,33,0,pre
er,full,101,34,0,pre
er,full,101,35,0,pre
er,full,101,36,0,pre
er,full,101,37,0,pre
er,full,101,38,0,pre
er,full,101,39,0,pre
er,full,101,40,0,stage2
er,full,101,41,0,stage2
er,full,101,42,0,stage2
er,full,101,43,0,stage2
er,full,101,44,0,stage2
er,full,101,45,0,stage2
er,full,101,46,20,stage2
er,full,101,47,0,stage2
er,full,101,48,0,stage2
er,full,101,49,0,stage2
er,full,101,50,0,stage2
er,full,101,51,0,stage2
er,full,101,52,0,stage2
er,full,101,53,0,stage2
er,full,101,54,0,stage2
er,full,101,55,0,stage2
er,full,101,56,0,recovery
er,full,101,57,0,recovery
er,full,101,58,0,recovery
er,full,101,59,0,recovery
er,full,101,60,0,recovery
er,full,101,61,0,recovery
er,full,101,62,0,recovery
er,full,101,63,0,recovery
er,full,101,64,0,recovery
er,full,101,65,0,recovery
er,full,101,66,0,recovery
er,full,101,67,0,recovery
er,full,101,68,0,recovery
er,full,101,69,0,recovery
er,full,101,70,0,recovery
er,full,101,71,0,recovery
er,full,101,72,0,recovery
er,full,101,73,0,recovery
er,full,101,74,0,recovery
er,full,101,75,0,recovery
er,full,101,76,0,recovery
er,full,101,77,0,recovery
er,full,101,78,0,recovery
er,full,101,79,0,recovery
er,baseline,102,1,2514,pre
er,baseline,102,2,4988,pre
er,baseline,102,3,1766,pre
er,baseline,102,4,74,pre
er,baseline,102,5,0,pre
er,baseline,102,6,0,pre
er,baseline,102,7,0,pre
er,baseline,102,8,0,pre
er,baseline,102,9,0,pre
er,baseline,102,10,0,pre
er,baseline,102,11,0,pre
er,baseline,102,12,0,pre
er,baseline,102,13,0,pre
er,baseline,102,14,0,pre
er,baseline,102,15,0,stage1
er,baseline,102,16,0,stage1
er,baseline,102,17,0,stage1
er,baseline,102,18,51,stage1
er,baseline,102,19,152,stage1
er,baseline,102,20,0,stage1
er,baseline,102,21,0,stage1
er,baseline,102,22,0,stage1
er,baseline,102,23,0,stage1
er,baseline,102,24,0,stage1
er,baseline,102,25,0,stage1
er,baseline,102,26,0,stage1
er,baseline,102,27,0,stage1
er,baseline,102,28,0,stage1
er,baseline,102,29,0,stage1
er,baseline,102,30,0,stage1
er,baseline,102,31,152,pre
er,baseline,102,32,0,pre
er,baseline,102,33,0,pre
er,baseline,102,34,0,pre
er,baseline,102,35,0,pre
er,baseline,102,36,0,pre
er,baseline,102,37,0,pre
er,baseline,102,38,0,pre
er,baseline,102,39,0,pre
er,baseline,102,40,0,stage2
er,baseline,102,41,0,stage2
er,baseline,102,42,0,stage2
er,baseline,102,43,0,stage2
er,baseline,102,44,32,stage2
er,baseline,102,45,0,stage2
er,baseline,102,46,0,stage2
er,baseline,102,47,0,stage2
er,baseline,102,48,0,stage2
er,baseline,102,49,0,stage2
er,baseline,102,50,0,stage2
er,baseline,102,51,0,stage2
er,baseline,102,52,0,stage2
er,baseline,102,53,0,stage2
er,baseline,102,54,0,stage2
er,baseline,102,55,0,stage2
er,baseline,102,56,32,recovery
er,baseline,102,57,0,recovery
er,baseline,102,58,0,recovery
