method,service_loss_ticks_mean,service_loss_ticks_ci95,service_loss_area_mean,service_loss_area_ci95,post_burst_active_ticks_mean,post_burst_active_ticks_ci95,recovery_failures_mean,recovery_failures_ci95,total_control_bytes_mean,total_control_bytes_ci95,route_changes_per_node_mean,route_changes_per_node_ci95,peak_route_changes_per_tick_mean,peak_route_changes_per_tick_ci95,burst_delivery_mean,burst_delivery_ci95
snn_sra,7.4,0.480099989585503,2.8216412240658957,0.5504070821547897,72.0,0.0,2.0,0.0,9140102.4,1295592.0428285515,100.078,1.8547276086800464,5031.6,128.66560292479102,0.9601770294210515,0.007706942621077623
ospf_te,7.2,2.352,2.561581381158705,0.49200321962391436,91.0,0.0,2.0,0.0,52086892.8,1963890.4429187432,209.52399999999997,7.087858655024097,2816.0,178.93844662341294,0.9656410349838025,0.014980957487016892
triggered_te,6.8,4.400189086846154,1.9324046525980432,0.3907276529507223,91.0,0.0,2.0,0.0,48430272.0,1570481.626650543,122.06199999999998,4.583791788290561,5082.8,131.55440571869875,0.9638572735613155,0.03543748928366749
te_ecmp,6.4,1.3293366766925523,2.291037564634329,0.13658399621362202,91.0,0.0,2.0,0.0,99851206.4,5704601.980122716,281.674,52.378556305205656,3653.8,213.33985521697534,0.9807785184140727,0.013373699155231669
bandit,4.0,0.6198064213930023,1.8875030544986218,0.09370456254663474,91.0,0.0,2.0,0.0,87014240.0,3200680.6361796893,5644.677999999999,290.70688069372966,7447.6,533.8320421405967,0.9812702088282332,0.01668960825748894
