method,trials,mean_mean_delivery_ratio,min_mean_delivery_ratio,max_mean_delivery_ratio,mean_min_delivery_ratio,min_min_delivery_ratio,max_min_delivery_ratio,mean_mean_loss_ratio,min_mean_loss_ratio,max_mean_loss_ratio,mean_mean_delay,min_mean_delay,max_mean_delay,mean_max_link_utilization,min_max_link_utilization,max_max_link_utilization,mean_mean_emitted_this_tick,min_mean_emitted_this_tick,max_mean_emitted_this_tick,mean_peak_event_rate,min_peak_event_rate,max_peak_event_rate,mean_pair_reachability_ratio,min_pair_reachability_ratio,max_pair_reachability_ratio,mean_total_emitted_updates,min_total_emitted_updates,max_total_emitted_updates,mean_total_received_updates,min_total_received_updates,max_total_received_updates,mean_total_fire_count,min_total_fire_count,max_total_fire_count
snn_sra,8,0.9183693267941796,0.653762064342647,1.0,0.8117885770277598,0.5077154413990395,1.0,0.08163067320582337,0.0,0.3462379356573693,3.118668259603913,2.6200000000000148,3.894818789572123,0.93,0.54,1.0,836.8145161290324,210.7741935483871,1703.6451612903227,38729.5,32306.0,47117.0,1.0,1.0,1.0,258018.375,205934.0,311501.0,259637.5,207264.0,313533.0,43598.75,38739.0,50380.0
ospf_te,8,0.9385529457374129,0.7499610352531624,1.0,0.8833762463576653,0.638404972658222,1.0,0.06144705426258932,0.0,0.2500389647468513,3.0752804200383332,2.6200000000000148,3.7486713240962586,0.93,0.54,1.0,13004.919354838708,11758.645161290322,14396.516129032258,57593.25,52074.0,63756.0,1.0,1.0,1.0,823073.875,737382.0,920144.0,811805.875,727006.0,907880.0,0.0,0.0,0.0
te_ecmp,8,0.9433074122568622,0.747639241174768,0.9989554531490076,0.9159255615850317,0.6906713625566394,0.9987545787545845,0.056692587743144056,0.0010445468509984724,0.2523607588252427,3.068234440009263,2.619467930421674,3.730520268016304,0.934875,0.5750000000000001,1.0,24594.83064516129,20633.516129032258,29747.064516129034,111385.125,91377.0,131737.0,1.0,1.0,1.0,1536242.5,1268262.0,1864291.0,1523208.125,1256396.0,1850147.0,0.0,0.0,0.0
