seed,method,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_emitted_this_tick,hotspot_peak_pressure,post_burst_mean_pressure,relief_tick_after_burst,total_emitted_updates,peak_event_rate
121,snn_sra,0.9476374717373911,0.05236252826261002,3.132133889356251,1367.5483870967741,1.8,0.10128,24,236449,31265
121,ospf_te,0.9766216518973677,0.02337834810263281,2.9596805435564773,13815.290322580646,0.599999999999999,0.0009199999999999972,2,880316,61182
121,te_ecmp,0.981370359984949,0.01862964001505572,2.9569325127349684,27329.09677419355,1.2930000000000008,0.002133500000000002,4,1711893,122092
121,bandit,0.9818698772560475,0.01813012274395288,2.9520902751275413,19736.129032258064,1.0559999999999992,9.999999999999875e-06,1,1553318,61182
122,snn_sra,0.957579234725401,0.04242076527459962,3.0816876585417083,697.9354838709677,1.8,0.08092500000000001,24,184680,27276
122,ospf_te,0.9894743172145188,0.010525682785481223,3.037062255502489,12563.41935483871,0.599999999999999,0.0005799999999999982,2,792606,55638
122,te_ecmp,1.0000000000000098,0.0,3.031623931623936,23814.0,0.0,0.0,1,1471463,105462
122,bandit,0.9760966157381146,0.023903384261885572,3.0359582145374566,17947.74193548387,0.7919999999999994,0.00032999999999999935,2,1404624,55638
123,snn_sra,0.916765924798022,0.0832340752019804,3.3809675133923944,1581.5806451612902,1.8,0.09888000000000001,24,243240,31161
123,ospf_te,0.9264377243289631,0.07356227567104008,3.2344839068323012,13904.709677419354,1.8,0.0,1,886317,61578
123,te_ecmp,0.9596213735142817,0.04037862648572649,3.163915660659594,27439.1935483871,1.8,5.000000000000871e-06,1,1725826,124187
123,bandit,0.946574405913449,0.053425594086551925,3.173123438835519,19863.870967741936,0.9839999999999973,0.0002899999999999956,2,1563675,61578
124,snn_sra,0.9292062461741295,0.07079375382587269,3.1679482786566178,1772.0645161290322,1.8,0.13319999999999999,24,250938,29111
124,ospf_te,0.9622085762745377,0.037791423725462965,2.986102315985069,13234.064516129032,1.4999999999999982,0.0,1,842325,58608
124,te_ecmp,0.9645061472779062,0.035493852722100885,2.977807406017828,25177.8064516129,1.697999999999999,0.003241999999999997,5,1584333,114826
124,bandit,0.9604466536487497,0.039553346351250546,2.9851322735333223,18905.8064516129,1.3320000000000003,4.999999999999973e-05,1,1487013,58608
125,snn_sra,0.9324965269827943,0.06750347301720729,3.251424908837362,1252.0,1.8,0.11411999999999993,24,221756,29596
125,ospf_te,0.9414299406240945,0.05857005937590646,3.1023182221130954,13144.645161290322,1.8,0.00029999999999999786,2,833126,58212
125,te_ecmp,0.9444600123862582,0.05553998761374886,3.090815471096389,24526.612903225807,1.8,0.00019999999999999998,2,1541251,112143
125,bandit,0.9362775041777127,0.06372249582228812,3.0758944432525066,18778.064516129034,1.5839999999999994,0.00300999999999998,5,1473458,58212
