method,peak_event_rate,initial_convergence_tick,active_node_ratio,total_emit_events_under_hotspot,weighted_mean_emit_distance,near_emit_share_h2,far_emit_share_h5,hotspot_emit_share,far_quiet_ratio_h5,outer_quiet_ratio_h3,max_active_distance,p90_emit_radius,distance_emit_correlation
snn_baseline,41610.4,4.0,0.118,44.6,0.8826628288072598,1.0,0.0,0.11733717119274034,0.0,1.0,1.0,1.0,-0.6595408720269008
snn_full,29681.8,4.0,0.136,40.8,0.9254147812971343,1.0,0.0,0.07458521870286576,0.0,1.0,1.0,1.0,-0.708929192307499
triggered_te,39499.0,4.0,1.0,392.0,2.174744800213491,0.6652536369386464,0.0,0.014851749136379117,0.0,0.0,3.8,3.0,-0.5470156924476729
ospf_te_t5,13246.2,8.8,1.0,420.0,2.263809523809524,0.6195238095238095,0.0,0.010952380952380953,0.0,0.0,3.8,3.2,-0.029046123755157305
ospf_te_t1,59043.6,4.0,1.0,2100.0,2.266,0.6220000000000001,0.0,0.01,0.0,0.0,3.8,3.2,
