method,burst_multiplier,per_flow_load_to_capacity_ratio,delivery_mean,delivery_ci95,path_stretch_mean,path_stretch_ci95,control_bytes_mean,control_bytes_ci95,route_changes_per_node_mean,route_changes_per_node_ci95,burst_route_changes_mean,burst_route_changes_ci95,hotspot_relief_ms_mean,hotspot_relief_ms_ci95,quieting_ms_mean,quieting_ms_ci95,peak_pressure_mean
snn_sra,2.0,0.04,0.9268637857608946,0.017881763273533437,1.0336116352943887,0.013238152534698172,7625113.6,998629.6395053753,97.178,1.0069403430193882,13.258064516129034,3.7853729109457577,40.0,20.55665342413497,748.0,278.32,1.7856000000000005
ospf_te,2.0,0.04,0.9957289642893391,0.008253628135780325,1.0005352360565063,0.0010490626707523364,59644473.6,2235676.398467682,146.552,13.000940769282819,36.19354838709677,33.87166430251499,4.0,7.839999999999999,18.0,11.428665713896788,0.13920000000000055
triggered_te,2.0,0.04,0.9821430114363239,0.02127177882852434,1.0159749979164432,0.023081371942349962,53932371.2,2106749.4751459775,115.598,2.124963628488732,6.04516129032258,4.828506448413684,14.0,27.44,16.0,7.839999999999999,0.7416000000000016
te_ecmp,2.0,0.04,0.9963185402763512,0.004501055174691345,1.0,0.0,115585248.0,6772671.115377866,222.416,26.701138053229112,54.16129032258065,67.73356772405032,0.0,0.0,18.0,11.428665713896788,0.11751999999999999
bandit,2.0,0.04,0.9994184423201474,0.0006523172424263152,1.0,0.0,99582963.2,3649709.8851404586,6552.74,301.7547022386494,3918.0,172.31255458810438,0.0,0.0,12.0,3.9199999999999995,0.09840000000000033
snn_sra,3.0,0.06000000000000001,0.936108955144495,0.014277652194483703,1.0481140961939872,0.019002625218299735,9507264.0,1385703.9464790497,99.90599999999999,1.9136426650762164,22.0258064516129,6.801298479196581,46.0,4.800999895855029,890.0,0.0,1.8
ospf_te,3.0,0.06000000000000001,0.9730043915671651,0.008801177208863973,1.0072894295850021,0.007133166141718436,59644473.6,2235676.398467682,172.412,6.593337454612803,107.78064516129032,19.22611840578263,8.0,9.601999791710059,18.0,11.428665713896788,1.0583999999999993
triggered_te,3.0,0.06000000000000001,0.9737499943164234,0.023054012188795332,1.0312919628282697,0.026843428873698245,54233529.6,1956853.4488794522,117.69800000000001,1.892414256551667,11.825806451612902,4.732594153907382,26.0,26.002338356386336,16.0,7.839999999999999,1.3079999999999996
te_ecmp,3.0,0.06000000000000001,0.982149206069239,0.013007638512988763,1.0041129285788288,0.004761199382442039,115154310.4,6670575.026091364,242.32200000000003,27.150726514154268,104.32903225806452,63.02099741379993,8.0,9.601999791710059,18.0,11.428665713896788,0.6761199999999997
bandit,3.0,0.06000000000000001,0.9787494159066832,0.020425851108163962,1.0020648084541404,0.004047024570115203,99582963.2,3649709.8851404586,6380.616,340.08322749998945,3779.006451612903,211.80894986682654,0.0,0.0,12.0,3.9199999999999995,0.7319999999999993
snn_sra,4.0,0.08,0.8997289620467346,0.02757373182929889,1.0484891060338084,0.018869440051833566,10112364.8,1323732.653960616,102.824,1.3473998580970683,30.135483870967743,5.631371772264818,42.0,3.9199999999999995,890.0,0.0,1.8
ospf_te,4.0,0.08,0.9388742171916624,0.02413509440950023,1.0222166142727218,0.013430456834672184,59644473.6,2235676.398467682,207.048,23.86125074656398,197.05161290322582,65.71331116701377,46.0,40.926001514929354,18.0,11.428665713896788,1.550400000000001
triggered_te,4.0,0.08,0.9215543450024175,0.03842763873340095,1.0500830525244251,0.02973849352030615,55754624.0,1893417.9240855505,131.55599999999998,4.515044530633114,48.69677419354839,17.125461029090484,36.0,23.68277010824536,36.0,25.252833504381243,1.6176000000000001
te_ecmp,4.0,0.08,0.9613466616021892,0.0179751679616539,1.0116594876698295,0.007400243652514785,114222841.6,6797911.912386302,301.832,21.181148242491478,272.8,52.35593622986531,14.0,7.839999999999999,10.0,0.0,1.532320000000001
bandit,4.0,0.08,0.9466500315799768,0.02088774525883566,1.007208926100002,0.006526335870492923,99582963.2,3649709.8851404586,5983.154,443.14079723891984,3505.2774193548385,297.80799439517625,14.0,17.08688385867944,12.0,3.9199999999999995,1.5984000000000003
snn_sra,5.0,0.1,0.858001342426744,0.0447129668351237,1.05473571929034,0.02274294177072114,10567737.6,1297105.7779790733,107.89399999999998,2.4101912076845724,43.33548387096774,8.764442386097926,96.0,109.76,890.0,0.0,1.8
ospf_te,5.0,0.1,0.8690756914562607,0.06267019773924817,1.0331361963965573,0.014057622248281576,59644473.6,2235676.398467682,242.25,14.6953815144759,279.98064516129034,32.78389817864436,132.0,111.80593186410101,18.0,11.428665713896788,1.8
triggered_te,5.0,0.1,0.8719109606321641,0.051173845149954426,1.070088937982296,0.020781674772815582,56730329.6,2244746.30744378,142.26999999999998,11.792893430876067,78.06451612903226,33.83482231368977,90.0,113.27375689011112,46.0,36.45810746596702,1.6128
te_ecmp,5.0,0.1,0.9059635366636307,0.04344444322548309,1.024221288834546,0.0108077231903838,112393638.4,7031566.129614851,363.592,39.03979809074838,404.25161290322575,102.75339992017318,74.0,115.88888471290072,14.0,7.839999999999999,1.793
bandit,5.0,0.1,0.9146975543070475,0.03172614261213854,1.008383098432393,0.005462904172836213,99582963.2,3649709.8851404586,5423.374000000001,502.5438644129303,3058.4451612903226,318.5361423386808,92.0,111.80593186410101,12.0,3.9199999999999995,1.6920000000000002
