method,topology,seed,distance,emit_count,emit_share,cdf_emit_share
ospf_te_t1,rgg,123,9,63,0.03,1.0
snn_baseline,rgg,124,0,5,0.125,0.125
snn_baseline,rgg,124,1,35,0.875,1.0
snn_baseline,rgg,124,2,0,0.0,1.0
snn_baseline,rgg,124,3,0,0.0,1.0
snn_baseline,rgg,124,4,0,0.0,1.0
snn_baseline,rgg,124,5,0,0.0,1.0
snn_baseline,rgg,124,6,0,0.0,1.0
snn_baseline,rgg,124,7,0,0.0,1.0
snn_baseline,rgg,124,8,0,0.0,1.0
snn_baseline,rgg,124,9,0,0.0,1.0
snn_full,rgg,124,0,3,0.07142857142857142,0.07142857142857142
snn_full,rgg,124,1,39,0.9285714285714286,1.0
snn_full,rgg,124,2,0,0.0,1.0
snn_full,rgg,124,3,0,0.0,1.0
snn_full,rgg,124,4,0,0.0,1.0
snn_full,rgg,124,5,0,0.0,1.0
snn_full,rgg,124,6,0,0.0,1.0
snn_full,rgg,124,7,0,0.0,1.0
snn_full,rgg,124,8,0,0.0,1.0
snn_full,rgg,124,9,0,0.0,1.0
ospf_te_t5,rgg,124,0,4,0.009523809523809525,0.009523809523809525
ospf_te_t5,rgg,124,1,54,0.12857142857142856,0.1380952380952381
ospf_te_t5,rgg,124,2,57,0.1357142857142857,0.27380952380952384
ospf_te_t5,rgg,124,3,84,0.2,0.4738095238095238
ospf_te_t5,rgg,124,4,69,0.16428571428571428,0.638095238095238
ospf_te_t5,rgg,124,5,47,0.11190476190476191,0.75
ospf_te_t5,rgg,124,6,55,0.13095238095238096,0.8809523809523809
ospf_te_t5,rgg,124,7,26,0.06190476190476191,0.9428571428571428
ospf_te_t5,rgg,124,8,12,0.02857142857142857,0.9714285714285714
ospf_te_t5,rgg,124,9,12,0.02857142857142857,1.0
ospf_te_t1,rgg,124,0,21,0.01,0.01
ospf_te_t1,rgg,124,1,273,0.13,0.14
ospf_te_t1,rgg,124,2,294,0.14,0.28
ospf_te_t1,rgg,124,3,420,0.2,0.48
ospf_te_t1,rgg,124,4,336,0.16,0.64
ospf_te_t1,rgg,124,5,231,0.11,0.75
