method,first_active_tick_mean,relief_tick_mean,impairment_delivery_mean,impairment_delivery_ci95,impairment_control_bytes_mean,impairment_control_bytes_ci95,impairment_peak_pressure_mean,total_control_bytes_mean
snn_sra,4.4,7.0,0.9247579021425507,0.019320759102048654,20300.8,9312.124570587932,1.7978399999999997,6392640.0
ospf_te,0.0,1.0,0.973411945070987,0.014245505359699814,378259.2,12897.878768380908,0.6343200000000003,44529312.0
triggered_te,0.0,3.2,0.9644036076583726,0.024469546143588098,329264.10322580644,13153.7085164323,1.1639999999999997,41679667.2
bandit,0.0,0.0,0.9706434260086366,0.014815247336078662,630677.2645161289,22782.640669364475,1.1232000000000013,74426508.8
