method,trials,mean_mean_delivery_ratio,min_mean_delivery_ratio,max_mean_delivery_ratio,mean_min_delivery_ratio,min_min_delivery_ratio,max_min_delivery_ratio,mean_mean_loss_ratio,min_mean_loss_ratio,max_mean_loss_ratio,mean_mean_delay,min_mean_delay,max_mean_delay,mean_max_link_utilization,min_max_link_utilization,max_max_link_utilization,mean_mean_emitted_this_tick,min_mean_emitted_this_tick,max_mean_emitted_this_tick,mean_peak_event_rate,min_peak_event_rate,max_peak_event_rate,mean_pair_reachability_ratio,min_pair_reachability_ratio,max_pair_reachability_ratio,mean_total_emitted_updates,min_total_emitted_updates,max_total_emitted_updates,mean_total_received_updates,min_total_received_updates,max_total_received_updates,mean_total_fire_count,min_total_fire_count,max_total_fire_count
snn_sra,4,0.9531084306524558,0.913452128081835,0.9958064516129035,0.7914098857273921,0.5985010380543561,0.995,0.04689156934754564,0.004193548387096802,0.08654787191816792,3.090451754794689,2.9297611760490314,3.2696756590933402,0.975,0.8999999999999998,1.0,899.9677419354839,229.93548387096774,1703.6451612903227,38946.0,32306.0,43060.0,1.0,1.0,1.0,261778.25,205934.0,311501.0,263648.25,207264.0,313533.0,43201.5,38739.0,47593.0
ospf_te,4,0.9629683941793011,0.9178610676060741,0.9958064516129035,0.8909609517498688,0.7522202039618203,0.995,0.03703160582069976,0.004193548387096802,0.082138932393928,3.0442547505288906,2.890326790193933,3.1759170010330253,0.975,0.8999999999999998,1.0,13144.629032258064,11758.645161290322,13815.225806451614,58212.0,52074.0,61182.0,1.0,1.0,1.0,832330.75,737382.0,877729.0,820962.75,727006.0,865881.0,0.0,0.0,0.0
te_ecmp,4,0.9675041239396049,0.9406284151862672,0.990319892473125,0.9389709284363712,0.8668612791431747,0.9884583333333395,0.03249587606040077,0.009680107526881787,0.05937158481373842,3.0377802668748295,2.8884318855451716,3.157808248768404,0.98625,0.9449999999999997,1.0,24825.879032258064,20633.516129032258,26566.225806451614,112674.5,91377.0,123355.0,1.0,1.0,1.0,1555377.0,1268262.0,1687360.0,1542135.5,1256396.0,1673291.0,0.0,0.0,0.0
bandit,4,0.9507402401060485,0.9165094898445497,0.9906182795698925,0.9122658131240492,0.8503598149748232,0.9750000000000001,0.049259759893952274,0.00938172043010759,0.08349051015545184,3.0202220995121447,2.8827839026740416,3.1590241753911865,1.0,1.0,1.0,18778.06451612903,16798.064516129034,19736.129032258064,58212.0,52074.0,61182.0,1.0,1.0,1.0,1472662.75,1310196.0,1550731.0,1453454.75,1292662.0,1530713.0,0.0,0.0,0.0
