seed,variant,initial_convergence_tick,peak_event_rate,hotspot_escape_count,hotspot_escape_ratio,post_hotspot_route_changes,post_hotspot_fire_ratio,stabilization_tick,emitted_updates,route_changes,post_event_route_changes,fire_rate_gain
71,baseline,8,2456,24,0.009795918367346938,18,0.17982456140350878,30,22794,2627,2627,1.3834951456310678
71,memory_only,8,2456,35,0.014285714285714285,5,0.12568306010928962,29,18889,2588,2588,1.1213235294117647
71,memory_inhibition,8,2441,21,0.008571428571428572,0,0.22674418604651161,26,18076,2317,2317,1.0858585858585859
71,full,8,2441,21,0.008571428571428572,0,0.21311475409836064,26,18109,2317,2317,1.1553030303030303
72,baseline,6,3093,34,0.013877551020408163,29,0.2094017094017094,30,25800,2665,2665,1.3797169811320755
72,memory_only,6,3093,43,0.017551020408163264,6,0.09045226130653267,29,21543,2623,2623,1.1733490566037736
72,memory_inhibition,6,2859,17,0.0069387755102040816,0,0.20224719101123595,26,20493,2297,2297,1.1125
72,full,6,2859,17,0.0069387755102040816,0,0.19047619047619047,26,20526,2297,2297,1.18125
73,baseline,7,2856,36,0.014693877551020407,33,0.2171945701357466,30,24325,2688,2688,1.2223451327433628
73,memory_only,7,2856,48,0.019591836734693877,9,0.11475409836065574,29,20245,2648,2648,1.0212053571428572
73,memory_inhibition,7,2638,35,0.014285714285714285,0,0.18023255813953487,26,19162,2325,2325,1.0436893203883495
73,full,7,2638,35,0.014285714285714285,0,0.1657754010695187,26,19207,2325,2325,1.1347087378640777
74,baseline,6,3115,0,0.0,0,0.28061224489795916,26,24191,2574,2574,1.25
74,memory_only,6,3115,0,0.0,0,0.06395348837209303,26,20291,2574,2574,1.1436170212765957
74,memory_inhibition,6,2766,0,0.0,0,0.06395348837209303,26,19221,2286,2286,1.1436170212765957
74,full,6,2766,0,0.0,0,0.0625,26,19225,2286,2286,1.1702127659574468
75,baseline,6,2643,47,0.019183673469387756,47,0.20614035087719298,30,24211,2689,2689,1.3834951456310678
75,memory_only,6,2643,59,0.024081632653061225,10,0.11702127659574468,29,20022,2639,2639,1.1519607843137256
75,memory_inhibition,6,2428,48,0.019591836734693877,0,0.2057142857142857,26,18996,2344,2344,1.0829207920792079
75,full,6,2428,48,0.019591836734693877,0,0.18848167539267016,26,19060,2344,2344,1.181930693069307
