method,peak_event_rate,initial_convergence_tick,active_node_ratio,total_emit_events_under_hotspot,weighted_mean_emit_distance,near_emit_share_h2,far_emit_share_h5,hotspot_emit_share,far_quiet_ratio_h5,outer_quiet_ratio_h3,max_active_distance,p90_emit_radius,distance_emit_correlation
snn_baseline,18071.2,4.0,0.262,104.0,0.9488753999623565,1.0,0.0,0.05112460003764352,0.0,1.0,1.0,1.0,-0.8121596598909069
snn_full,16931.6,4.0,0.278,83.4,0.9627513227513227,1.0,0.0,0.03724867724867724,0.0,1.0,1.0,1.0,-0.8405469382941997
ospf_te_t5,39006.0,16.0,1.0,500.0,1.8800000000000001,0.834,0.0,0.01,0.0,0.0,3.2,2.6,
ospf_te_t1,39006.0,4.0,1.0,2100.0,1.8800000000000001,0.834,0.0,0.01,0.0,0.0,3.2,2.6,
