method,service_loss_ticks_mean,service_loss_ticks_ci95,service_loss_area_mean,service_loss_area_ci95,post_burst_active_ticks_mean,post_burst_active_ticks_ci95,recovery_failures_mean,recovery_failures_ci95,total_control_bytes_mean,total_control_bytes_ci95,route_changes_per_node_mean,route_changes_per_node_ci95,peak_route_changes_per_tick_mean,peak_route_changes_per_tick_ci95,burst_delivery_mean,burst_delivery_ci95
snn_sra,123.2,18.432338538557712,30.266604285264947,10.842834929678535,81.4,7.903443300233133,2.0,0.0,17632390.4,3777848.0220959317,209.102,29.821098494696663,1553.6,152.67079018594225,0.5395398870325099,0.11228281921676164
ospf_te,107.6,22.352594838183776,29.246173380828633,15.103041360619109,91.0,0.0,2.0,0.0,63455942.4,2333113.337549491,773.042,83.03925904923766,1577.6,202.61565767728808,0.5504376900261929,0.15470201937036182
triggered_te,121.0,6.732821102628525,38.558900058693354,15.369383988575377,91.0,0.0,2.0,0.0,71214406.4,4471954.831635951,244.51,35.394244724700656,1677.6,185.9177523960528,0.5135011910743469,0.16102408947301103
te_ecmp,113.8,21.456405663577485,30.7223407539736,12.235263171550649,91.0,0.0,2.0,0.0,109059872.0,13228309.3010975,1207.234,105.14731050632538,2339.2,292.3242589728057,0.5396257237887897,0.13724986805815795
bandit,102.2,27.86648567724319,24.4095787676572,10.08013465594241,91.0,0.0,2.0,0.0,106856096.0,3552597.7578966566,4033.6440000000002,476.28013464310845,8455.0,655.9133484234026,0.5901596884126614,0.1465073276504382
