scenario,method,startup_full_reachability_ms_mean,startup_full_reachability_ms_ci95,post_startup_min_reachability_mean,post_startup_min_reachability_worst,post_startup_max_loop_ratio_mean,post_startup_max_loop_ratio_worst,post_startup_max_blackhole_ratio_mean,post_startup_max_blackhole_ratio_worst,final_pair_reachability_mean,final_node_complete_route_ratio_mean
hotspot_3x,snn_sra,40.0,0.0,0.9993333333333334,0.9986868686868687,0.0006666666666666668,0.0013131313131313131,0.0,0.0,1.0,1.0
hotspot_3x,ospf_te,88.0,11.428665713896788,0.9994141414141413,0.9987878787878788,0.00024242424242424242,0.0012121212121212121,0.0004242424242424242,0.0008080808080808081,1.0,1.0
hotspot_3x,triggered_te,40.0,0.0,0.9975757575757577,0.9896969696969697,0.0024242424242424242,0.010303030303030303,0.0,0.0,0.9981010101010102,0.8119999999999999
hotspot_3x,te_ecmp,88.0,11.428665713896788,0.9995757575757576,0.9991919191919192,0.0,0.0,0.0004242424242424242,0.0008080808080808081,1.0,1.0
hotspot_3x,bandit,62.0,3.9199999999999995,0.9999191919191919,0.9995959595959596,0.0,0.0,8.080808080808081e-05,0.00040404040404040404,1.0,1.0
continuous_chaos,snn_sra,40.0,0.0,0.9994141414141413,0.9986868686868687,0.0005858585858585859,0.0013131313131313131,0.0,0.0,1.0,1.0
continuous_chaos,ospf_te,88.0,11.428665713896788,0.9994141414141413,0.9987878787878788,0.00024242424242424242,0.0012121212121212121,0.0004242424242424242,0.0008080808080808081,1.0,1.0
continuous_chaos,triggered_te,40.0,0.0,0.995010101010101,0.9763636363636363,0.0049898989898989905,0.023636363636363636,0.0,0.0,0.9979797979797981,0.7999999999999999
continuous_chaos,te_ecmp,88.0,11.428665713896788,0.9995757575757576,0.9991919191919192,0.0,0.0,0.0004242424242424242,0.0008080808080808081,1.0,1.0
continuous_chaos,bandit,62.0,3.9199999999999995,0.9999191919191919,0.9995959595959596,0.0,0.0,8.080808080808081e-05,0.00040404040404040404,1.0,1.0
gray_failure,snn_sra,40.0,0.0,0.9997979797979799,0.9993939393939394,0.00020202020202020202,0.0006060606060606061,0.0,0.0,1.0,1.0
gray_failure,ospf_te,88.0,11.428665713896788,0.9995757575757576,0.9991919191919192,0.0,0.0,0.0004242424242424242,0.0008080808080808081,1.0,1.0
gray_failure,triggered_te,40.0,0.0,0.9981616161616162,0.9911111111111112,0.0018383838383838383,0.008888888888888889,0.0,0.0,0.9982424242424243,0.826
gray_failure,te_ecmp,88.0,11.428665713896788,0.9995757575757576,0.9991919191919192,0.0,0.0,0.0004242424242424242,0.0008080808080808081,1.0,1.0
gray_failure,bandit,62.0,3.9199999999999995,0.9999191919191919,0.9995959595959596,0.0,0.0,8.080808080808081e-05,0.00040404040404040404,1.0,1.0
