time_s,old_cwnd_bytes,new_cwnd_bytes
3.157011,13400,13936
3.179667,13936,14472
3.203267,14472,15008
3.227811,15008,15544
3.253299,15544,16080
3.279731,16080,16616
3.307107,16616,17152
3.335427,17152,17688
3.363747,17688,18224
3.393955,18224,18760
3.424163,18760,19296
3.456259,19296,19832
3.488355,19832,20368
3.522339,20368,20904
3.556323,20904,21440
3.592195,21440,21976
3.628067,21976,22512
3.664883,22512,23048
3.702643,23048,23584
3.741347,23584,24120
3.780995,24120,24656
3.821587,24656,25192
3.863123,25192,25728
3.905603,25728,26264
3.948083,26264,26800
3.992451,26800,27336
4.020834,27336,24954
4.021256,24954,24835
4.021306,24835,25133
4.021728,25133,25014
4.022200,25014,24895
4.022672,24895,24776
4.022722,24776,25073
4.023131,25073,24954
4.024630,24954,24716
4.025574,24716,24478
4.027502,24478,24240
4.029430,24240,24001
4.031358,24001,23763
4.032302,23763,23525
4.034230,23525,23287
4.036158,23287,23048
4.039070,23048,22810
4.040998,22810,22572
4.041942,22572,22334
4.043870,22334,22096
4.045798,22096,21857
4.047726,21857,21619
4.048670,21619,21381
4.051582,21381,21143
4.053510,21143,20904
4.055438,20904,20666
4.057366,20666,20428
4.058310,20428,20190
4.061222,20190,18760
4.063150,18760,19296
4.128662,19296,19832
4.138315,19832,19526
4.139771,19526,19756
4.140243,19756,19986
4.141699,19986,20215
4.142171,20215,20445
4.142643,20445,20675
4.144099,20675,20904
4.144571,20904,21134
4.145043,21134,21364
4.147483,21364,21594
4.147955,21594,21823
4.149411,21823,22053
4.149883,22053,22283
4.150355,22283,22512
4.151811,22512,22742
4.152283,22742,22972
4.153739,22972,23202
4.154211,23202,23431
4.154683,23431,23278
4.156139,23278,23125
4.156611,23125,22972
4.159051,22972,22819
4.159523,22819,22666
4.159995,22666,22512
4.161451,22512,22359
4.161923,22359,22206
4.163379,22206,22053
4.163851,22053,21900
4.164323,21900,21747
4.165779,21747,21594
4.166251,21594,21440
4.166723,21440,21287
4.169163,21287,21134
4.169635,21134,20981
4.171091,20981,20828
4.171563,20828,20675
4.172022,20675,13400
4.172022,13400,13936
4.173950,13936,14472
4.278022,14472,15008
4.327166,15008,15544
4.378238,15544,16080
4.431238,16080,16616
4.486166,16616,17152
4.542038,17152,17688
4.561803,17688,17412
4.563259,17412,17671
4.563731,17671,17931
4.565187,17931,18190
4.565659,18190,18449
4.566131,18449,18709
4.567587,18709,18968
4.568059,18968,19227
4.568531,19227,19487
4.570971,19487,19746
4.571443,19746,20005
4.572899,20005,20265
4.573371,20265,20524
4.573843,20524,20783
4.575299,20783,21043
4.575771,21043,21302
4.577227,21302,21164
4.577699,21164,21026
4.578171,21026,20887
4.579627,20887,20749
4.580099,20749,20611
4.582539,20611,20472
4.583011,20472,20334
4.583483,20334,20196
4.584939,20196,20057
4.585411,20057,19919
4.586867,19919,19781
4.587339,19781,19642
4.587811,19642,19504
4.589267,19504,19366
4.589739,19366,19227
4.590211,19227,19089
4.592638,19089,12328
