time_s,old_cwnd_bytes,new_cwnd_bytes
3.612138,7504,8040
3.612275,8040,8576
3.613594,8576,9112
3.613731,9112,8576
3.614066,8576,9112
3.614203,9112,9648
3.614675,9648,9112
3.616131,9112,9648
3.616603,9648,9112
3.618059,9112,9648
3.618394,9648,9112
3.618531,9112,9648
3.618866,9648,9112
3.619003,9112,9648
3.619765,9648,9112
3.621443,9112,9648
3.621915,9648,9112
3.623371,9112,9648
3.623830,9648,10184
3.654867,10184,10720
3.673400,10720,11256
3.691398,11256,11792
3.711222,11792,12328
3.731046,12328,12864
3.752758,12864,13400
3.774470,13400,13936
3.797126,13936,14472
3.820726,14472,15008
3.845270,15008,15544
3.870758,15544,16080
3.897190,16080,16616
3.934806,16616,17152
3.990678,17152,17688
4.047534,17688,18224
4.054787,18224,17923
4.055259,17923,18157
4.055731,18157,18392
4.057187,18392,18626
4.057659,18626,18861
4.059115,18861,19095
4.059587,19095,19330
4.060059,19330,19564
4.062499,19564,19799
4.062971,19799,20033
4.064427,20033,20268
4.064899,20268,20502
4.065371,20502,20737
4.066827,20737,20971
4.067299,20971,21206
4.068755,21206,21440
4.069227,21440,21290
4.069699,21290,21139
4.072139,21139,20988
4.072611,20988,20837
4.073083,20837,20687
4.074539,20687,20536
4.075011,20536,20385
4.076467,20385,20234
4.076939,20234,20084
4.077411,20084,19933
4.078867,19933,19782
4.079339,19782,19631
4.080795,19631,19481
4.081267,19481,19330
4.081739,19330,19179
4.084179,19179,19028
4.084651,19028,18878
4.086094,18878,12328
4.086094,12328,12864
4.111506,12864,7504
4.111978,7504,8040
4.112115,8040,8576
4.120758,8576,9112
4.151301,9112,9648
4.168890,9648,10184
4.187422,10184,10720
4.205011,10720,11256
4.223954,11256,11792
4.242834,11792,12328
4.263602,12328,12864
4.284370,12864,13400
4.306082,13400,13936
4.328738,13936,14472
4.352338,14472,15008
4.376882,15008,15544
4.402370,15544,16080
4.428802,16080,16616
4.456178,16616,17152
4.484498,17152,17688
4.511555,17688,13892
4.511886,13892,13869
4.512027,13869,14361
4.512358,14361,14338
4.512830,14338,14316
4.513302,14316,14294
4.513483,14294,14785
4.513774,14785,14763
4.513955,14763,15254
4.514246,15254,15232
4.514718,15232,15209
4.515178,15209,15187
4.515870,15187,15142
4.516814,15142,15098
4.518742,15098,15053
4.520670,15053,15008
4.522598,15008,14964
4.524526,14964,14919
4.525470,14919,14874
4.527398,14874,14830
4.528342,14830,14785
4.530270,14785,14740
4.531214,14740,12328
4.531214,12328,12864
4.624230,12864,13400
4.667590,13400,13936
4.712282,13936,8040
4.712754,8040,8576
4.713226,8576,9112
4.713363,9112,9648
4.723462,9648,10184
4.753965,10184,10720
4.772498,10720,11256
4.790496,11256,11792
4.810320,11792,12328
4.830144,12328,12864
4.851856,12864,13400
4.873568,13400,13936
4.896224,13936,14472
4.919824,14472,15008
4.944368,15008,15544
4.969856,15544,16080
4.996288,16080,16616
5.025622,16616,17152
5.053942,17152,17688
5.082262,17688,18224
5.112470,18224,18760
5.142678,18760,19296
